ID,Ojibwe Word,Word Class,English Translation
691,aajiningwa'on,m,crutch; pi aajiningwa'onan; loc aajiningwa'oriing; dim aajiningwa'onens
692,aajisag,pc,in the next room
696,aakoziwinikaa,vii,there is much sickness; pn ayaakoziwinikaag; aug aakoziwinikaamagad; pn aug ayaakoziwinikaamagak
699,aakoziiwendaagozi,vai,be considered sickly; pn ayaakoziiwendaagozid
701,aakoziiwtgamig,ni,hospital; pi aakoziiwigamigoon; loc aakoziiwigamigong; dim aakoziiwigamigoons
705,aamoo-wadiswan,ni,"beehive, wasp nest; pi aamoo-wadiswanan; loc aamoo-wadiswaning"
708,aanapii,pc,"when? interrogative; also aanapiish, aaniin apii, aaniin iw apii"
709,aanapiish,pc,"when? interrogative; also aanapii, aaniin apii, aaniin iw apii"
716,aanawi,pc,"anyhow, although, despite, but"
718,aandagim,vta,count s.o. over; Isg indaandagimaa; pn ayaandagimaad
719,aandagindan,vti,c count s.t. over; Isg indaandagindaan; pn ayaandaginang
720,aandaginzo,vai,count over; Isg indaandaginz; pn ayaandaginzod
727,aandi,pc,"where? interrogative; also aandish, aaniindi"
728,aangodinong,pc,"sometimes, occasionally; also aaningodinong"
733,aanikanootaagozi,vai,be interpreted; Isg indaanikanootaagoz; pn ayaanikanootaagozid
734,aanikegamaa,vii,be a chain of lakes; prt ayaanikegamaag; aug aanikegamaamagad; pn aug ayaanikegamaamagak
735,aanike-ogimaa,na,"someone next in succession to the leader (e.g., a vice president); pi aanike- ogimaag; dim aanike-ogimaans"
736,aanikeshkaw,vta,"stand in place of s.o., follow in s.o.'s steps, be next to s.o.; Isg indaanikeshkawaa; prt ayaanikeshkawaad aanikeshkodaadiwag /aanikeshkodaadi-/ vai they are next to each other; Ipl indaanikeshkodaadimin; prt ayaanikeshkodaadijig"
740,aanikoosidoon,vti2,lay s.t. joining something else; Isg indaanikoosidoon; prt ayaanikoosidood
742,aanimad,vii,"wind blows wildly, be a disturbance, be danger; pn ayaanimak aanimendam vai2 suffer mentally, suffer emotionally; Isg indaanimendam; prt ayaanimendang"
743,aanimi',vta,"abuse s.o., make s.o. suffer, cause s.o. trouble; Isg indaanimi'aa; prt ayaanimi'aad"
744,aanimim,vta,reprimand s.o.; Isg inaanimimaa; prt ayaanimimaad
745,aanimitoon,vti2,abuse s.t.; Isg indaanimitoon; prt ayaanimitood
747,aanind,pc,some
748,aanish,pc,"well, well then"
749,aanishim,vta,"discourage s.o.; Isg indaanishimaa; prt ayaanishimaad aanizhiitam vai2 change one's mind, quit working, decide against, give up; Isg indaanizhiitam; pn ayaanizhiitang"
750,aaniin,pc,"how?, why?, in what way? interrogative"
751,aaniin,pc,"hello!, greetings! aaniin apii pc when? interrogative', also aanapii, aanapiish, aaniin iw apii, aaniinwapii aaniin dash pc why? interrogative"
752,aaniindi,pc,"where? interrogative; oho aandi aaniin iwapii pc when? interrogative; also aanapii, aanapiish, aaniin apii aaniin minikpc how many?, how much? interrogative aaniin danaa p well how?, well why?, why not? t"
753,aaniish,pc,"how?, why?, in what way? interrogative, well now, you see aaniish apii pc when? interrogative; also anapii, aanin apii, aanapiish, aaniin iw apii aaniish naapc well now, you see aanji- pv4 change"
